mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.092305850982666,0.13429807828022047,0.0012264728546142578,0.00025611653084066296,0.1,0.05,epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.05, 'loss': 'epsilon_insensitive'}",-4.6743327071008265,-6.670289654981382,-4.7798609267069505,-4.76821555795882,-5.079885109035893,-5.194516791156774,0.7503745300582636,7
0.0036407470703125,0.0007523035922982317,0.0012151241302490235,0.0005088359365981346,0.1,0.05,squared_epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.05, 'loss': 'squared_epsilon_insensitive'}",-7.278297902082006,-7.288420657314052,-7.429758330683537,-7.19032736933694,-7.274074512659696,-7.292175754415245,0.077248183575272,22
6.175553894042968,0.15343959286178185,0.0014072418212890624,0.00021345894334611474,0.1,0.1,epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.1, 'loss': 'epsilon_insensitive'}",-4.386214733906406,-4.355147238051892,-4.421472788696852,-4.405278322090778,-6.305006091015504,-4.774623834752287,0.765509485785485,4
0.004423809051513672,0.001058765487221047,0.0010036468505859376,0.00016533695702522524,0.1,0.1,squared_epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.1, 'loss': 'squared_epsilon_insensitive'}",-7.278626465478538,-4.246444126045848,-4.697356373575851,-4.518882051064948,-7.275023013787883,-5.603266405990614,1.3739818484996804,16
6.486518478393554,0.31099534289611036,0.0013991832733154298,0.00023138007075212337,0.1,0.2,epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.2, 'loss': 'epsilon_insensitive'}",-4.454953798569559,-3.860437975086941,-4.9137726189718505,-5.887639366815809,-5.682477342200994,-4.959856220329031,0.7548156708050283,5
0.006874942779541015,0.0004482490097856591,0.0013633251190185546,0.00020453604049612689,0.1,0.2,squared_epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.2, 'loss': 'squared_epsilon_insensitive'}",-7.279359298095412,-5.734852401064831,-7.4320721068512094,-7.192904761823811,-7.276911062511159,-6.983219926069284,0.6289372781625184,21
7.571104717254639,0.8745612495096562,0.001596355438232422,0.00029381437345453725,0.1,0.5,epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.5, 'loss': 'epsilon_insensitive'}",-4.476381054057212,-3.952484621943211,-6.166522688372268,-5.4012808703708854,-5.922507564794381,-5.183835359907592,0.8456133627810838,6
0.006921100616455078,0.00022312210857116483,0.0016980648040771484,0.0006158607184464639,0.1,0.5,squared_epsilon_insensitive,"{'C': 0.1, 'epsilon': 0.5, 'loss': 'squared_epsilon_insensitive'}",-4.401765794850522,-4.257495727837202,-4.705443685084551,-4.524967323927192,-4.390427823092944,-4.456020070958482,0.1507472369520782,1
7.481350040435791,0.8027612379710526,0.0015209674835205077,0.0002133999771053602,1.0,0.05,epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.05, 'loss': 'epsilon_insensitive'}",-4.687100145252306,-3.901209545702778,-5.655072353608358,-8.07043283598047,-5.371863554300177,-5.537135686968818,1.4041106183078544,14
0.005546474456787109,0.0005997992363839723,0.0015744209289550782,0.00038770129475396717,1.0,0.05,squared_epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.05, 'loss': 'squared_epsilon_insensitive'}",-7.278297906217879,-7.288420656928748,-7.429758331537065,-7.190327366909143,-7.274074510784081,-7.292175754475383,0.0772481844625382,23
7.356969165802002,0.73096019732213,0.0019176959991455077,0.0003572659123107277,1.0,0.1,epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.1, 'loss': 'epsilon_insensitive'}",-4.66312080833766,-3.8924380490128616,-5.623153743147891,-8.028199533740283,-5.3389853088300026,-5.509179488613741,1.3940650164372843,12
0.0056689739227294925,0.0013602765178854406,0.0011334419250488281,0.0002019535125832982,1.0,0.1,squared_epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.1, 'loss': 'squared_epsilon_insensitive'}",-7.278626467220229,-4.246444586824993,-4.697356926557073,-4.518882374343405,-7.275023012620752,-5.603266673513291,1.373981633687828,17
8.060060214996337,0.1646000975341315,0.0017805099487304688,0.0005015990115416455,1.0,0.2,epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.2, 'loss': 'epsilon_insensitive'}",-4.616690384338277,-3.8775399845403387,-5.560504939242929,-7.941952878267895,-5.273186825177569,-5.453975002313401,1.3726077225815283,10
0.006717586517333984,0.0021227768121944183,0.0017580986022949219,0.0011563215255418755,1.0,0.2,squared_epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.2, 'loss': 'squared_epsilon_insensitive'}",-7.279359296767415,-5.734819197926732,-7.432072107619223,-7.192904759745582,-7.276911061478432,-6.983213284707476,0.6289504587895158,20
8.32512345314026,0.12015193366348739,0.0026916027069091796,0.0018949989253718776,1.0,0.5,epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.5, 'loss': 'epsilon_insensitive'}",-4.489644924549313,-3.8534611472504943,-5.37863591357941,-7.6915170777535975,-5.083778503099376,-5.299407513246439,1.3054836285019664,8
0.008779430389404297,0.00021383637820172625,0.001842641830444336,5.578619789499539e-05,1.0,0.5,squared_epsilon_insensitive,"{'C': 1.0, 'epsilon': 0.5, 'loss': 'squared_epsilon_insensitive'}",-4.4017662128351365,-4.257496213080974,-4.705444257751134,-4.524967647234009,-4.3904283634781756,-4.456020538875886,0.15074725111150114,2
