mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_epsilon,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2934582710266113,0.05151495110822407,0.0013638019561767578,0.0001647503365364703,1e-05,0.05,"{'alpha': 1e-05, 'epsilon': 0.05}",-171074.27768206142,-7331.4147575749785,-45249.308778415405,-4730.807678569399,-32383.570551484176,-52153.87588962108,61381.75690401115,9
0.2803791999816895,0.035086377329039964,0.0014235019683837891,0.00011861717035510918,1e-05,0.1,"{'alpha': 1e-05, 'epsilon': 0.1}",-129184.26561101065,-32237.06059927665,-45492.51474010257,-164833.4596199299,-10409.111946060682,-76431.28250327609,59778.065795438255,10
0.31397671699523927,0.04023057887522135,0.0017733097076416016,0.0006988286219641689,1e-05,0.2,"{'alpha': 1e-05, 'epsilon': 0.2}",-164664.22617052996,-148083.45156731838,-111356.55932620054,-206872.22425955208,-10504.43229700616,-128296.17872412142,66408.15041140304,12
0.344453239440918,0.07992337429442527,0.0012248992919921876,0.0002545759680833231,1e-05,0.5,"{'alpha': 1e-05, 'epsilon': 0.5}",-177483.1372610012,-137049.2158431656,-25244.733063786207,-1885.275102240432,-92288.76499042464,-86790.22525212362,65997.12498555219,11
0.0985447883605957,0.019727814782400106,0.001344442367553711,0.00015864301308145625,0.0001,0.05,"{'alpha': 0.0001, 'epsilon': 0.05}",-7561.227802182359,-101.81366471312086,-86.31784880413556,-28331.684070303047,-96.21843934010977,-7235.452365068554,10937.318759929161,5
0.09242453575134277,0.014395002354007688,0.0013103961944580078,0.00010544770490822598,0.0001,0.1,"{'alpha': 0.0001, 'epsilon': 0.1}",-43814.38711000597,-88.86342255880982,-24147.946533064518,-50746.0260012104,-3144.9060133945313,-24388.425816046845,20561.637853641787,6
0.08799667358398437,0.02311243867614327,0.0015759468078613281,0.00036848351539538866,0.0001,0.2,"{'alpha': 0.0001, 'epsilon': 0.2}",-211.35093135735931,-24311.769477617232,-96419.70529884956,-130.1166239892743,-45368.44827730398,-33288.27812182348,35792.826382147774,7
0.0932530403137207,0.021141554884410118,0.001239442825317383,0.00022259408210746506,0.0001,0.5,"{'alpha': 0.0001, 'epsilon': 0.5}",-54068.03178700798,-66915.99270028716,-37694.41753995815,-36883.251048088816,-36077.514217215496,-46327.841458511524,12268.561635394193,8
0.025290441513061524,0.0018169700771590441,0.001350069046020508,7.725153430391438e-05,0.001,0.05,"{'alpha': 0.001, 'epsilon': 0.05}",-106.81572803848272,-635.4247223332195,-104.90127210726045,-85.91301689670591,-87.38281907128629,-204.08751168939096,215.84100435351206,1
0.023255252838134767,0.002771767171612328,0.001264810562133789,0.00012964815629956338,0.001,0.1,"{'alpha': 0.001, 'epsilon': 0.1}",-110.2494684708428,-74.65524166983772,-22237.33914570345,-85.45228453429888,-83.37502035027849,-4518.214232145741,8859.5703606955,3
0.02538290023803711,0.0035778343015352835,0.001295328140258789,0.0001012695930143603,0.001,0.2,"{'alpha': 0.001, 'epsilon': 0.2}",-101.52900036346365,-67.79296528171088,-17588.544952078715,-94.21585465603283,-96.11452444612804,-3589.63945936521,6999.462478551755,2
0.01800088882446289,0.001597116781773678,0.0010403156280517577,0.0002319494747070456,0.001,0.5,"{'alpha': 0.001, 'epsilon': 0.5}",-101.83771990391857,-73.767089079531,-9779.951666014156,-16588.73454321328,-78.63592002201344,-5324.585387646579,6769.040060386958,4
